Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	DOMAIN:Homeobox	11	4.867256637168142	2.3469300439268304E-5	IRX1, IRX2, DLX1, DLX2, DLX3, IRX5, MSX2, LHX2, HOXA1, LMX1B, POU4F1	226	189	22290	5.740272510184015	0.022623009978394282	0.0028603209910358245	0.002836851690596556
GOTERM_BP_DIRECT	GO:0009887~animal organ morphogenesis	9	3.982300884955752	2.591282180760072E-5	WNT10B, TGFB2, TGFB1, EYA1, WNT5A, WNT7A, FAT3, PRICKLE1, TGFBR2	225	140	26568	7.590857142857143	0.054140709388371344	0.0012369053609494743	0.0011591668955266722
GOTERM_BP_DIRECT	GO:0030335~positive regulation of cell migration	12	5.3097345132743365	2.9061125715708018E-5	BMP4, EPHA4, TGFB2, TGFB1, ZFP703, HGF, NEDD9, ADAM9, PIK3R1, LGR6, FERMT2, EPHA2	225	281	26568	5.042562277580072	0.06051573176933278	0.0013570282182030614	0.0012717401318634834
GOTERM_BP_DIRECT	GO:0002062~chondrocyte differentiation	7	3.0973451327433628	3.0460326907168825E-5	BMP4, WNT10B, TGFB1, WNT7A, SOX9, SLC39A14, PTHLH	225	71	26568	11.641690140845071	0.06333518173576602	0.0013921017488638008	0.0013046093205134224
GOTERM_BP_DIRECT	GO:0001502~cartilage condensation	5	2.2123893805309733	3.193886545963739E-5	TGFB2, MYCN, WNT7A, SOX9, BARX2	225	22	26568	26.83636363636364	0.06630531004526541	0.0014292642293187734	0.0013394361702135432
GOTERM_BP_DIRECT	GO:0000902~cell morphogenesis	9	3.982300884955752	3.33370891910318E-5	TGFB2, TGFB1, CDH2, HGF, ENPP1, MSX1, AHR, GATA3, CDH8	225	145	26568	7.329103448275863	0.06910543862913543	0.001461389134333394	0.0013695420518683066
GOTERM_BP_DIRECT	GO:0001656~metanephros development	6	2.6548672566371683	3.781885358983515E-5	IRX1, BMP4, IRX2, FGF8, EYA1, SPRY1	225	45	26568	15.744	0.07802432040693863	0.001624697950219318	0.001522587045526763
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	24	10.619469026548673	4.027426144128145E-5	PAQR8, NGFR, DLX1, DLX2, EYA1, DLX4, EYA2, IRX4, WNT5A, WNT7A, GATA3, SMAD6, ETV4, IQCG, TGFBR2, BMP4, GAP43, FGF8, DAB1, CHL1, ITGB8, SOX9, EPHA2, GAS7	225	1070	26568	2.6485233644859814	0.08287440728022688	0.0016962571289386777	0.0015896487898294032
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	70	30.973451327433626	4.341611065796951E-5	DYSF, SLC7A11, SLC6A2, CDH8, SLC8A1, GRM4, CDH2, CHL1, LRRTM1, CLDN23, ITGB8, ENPP1, CAR12, CMKLR1, ARRDC4, PAQR8, EPHA4, UNC5B, SLC39A11, KREMEN1, MTUS1, ACSL4, UNC5C, GAB2, PDIA6, SLC39A14, SHISA7, TGFBR2, RGMA, GAP43, PLCB4, ADAM9, PLPP3, PLA2R1, CD44, EPHA2, GRIA1, PARM1, GPR87, SLC41A2, NTM, NRXN3, NEDD9, TNFRSF11A, APCDD1, SLC7A1, CRHR1, FLRT1, HAS3, LRRC8C, SLC13A5, RAB11FIP2, DRD5, FZD1, NGFR, PCDH9, NEGR1, KCNIP1, TRPA1, PLEKHA2, KCNB2, SORBS2, TEC, FAP, GJB6, LGR6, SDK2, ITM2B, SERINC5, FERMT2	214	3980	19181	1.5764218287700182	0.0015184428580635734	0.0015195638730289328	0.0014327316517129937
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	17	7.52212389380531	5.1148177500890795E-5	TLE4, TFAP2A, TFAP2B, DLX1, DLX2, DLX3, SFMBT2, HOXC13, SMAD6, KLF14, NR3C1, POU4F1, BARX2, SALL1, LHX2, CREB3L1, SOX9	222	558	24521	3.365115115115115	0.02455221817983677	0.0022598194786757203	0.0021854221295835156
GOTERM_BP_DIRECT	GO:0071560~cellular response to transforming growth factor beta stimulus	7	3.0973451327433628	5.201558700246871E-5	DLX1, TGFB1, WNT5A, WNT7A, SOX9, NR3C1, ZFP36L2	225	78	26568	10.596923076923076	0.10571645245518047	0.0021486438631019766	0.0020136033968455674
GOTERM_BP_DIRECT	GO:0001657~ureteric bud development	6	2.6548672566371683	5.7432315375978596E-5	BMP4, SALL1, TGFB1, EYA1, SPRY1, SMAD6	225	49	26568	14.458775510204083	0.11606182460044445	0.002327634215615133	0.0021813443556951873
SMART	SM00548:IRO	4	1.7699115044247788	6.037305713487952E-5	IRX1, IRX2, IRX5, IRX4	162	6	10952	45.06995884773662	0.008476726257218292	0.0042563005280090065	0.0042563005280090065
KEGG_PATHWAY	mmu04934:Cushing syndrome	10	4.424778761061947	6.32965115419851E-5	FZD1, CACNA1I, WNT10B, PLCB4, CREB3L1, WNT5A, WNT7A, AHR, PLCB1, CRHR1	116	162	10620	5.6513409961685825	0.015326177798335672	0.0034576397003003695	0.0030325200650175373
GOTERM_BP_DIRECT	GO:0003149~membranous septum morphogenesis	4	1.7699115044247788	6.792884708279768E-5	FZD1, BMP4, TGFB2, TGFBR2	225	10	26568	47.232	0.13576980783554027	0.0027020585839601743	0.0025322364662531804
GOTERM_CC_DIRECT	GO:0070161~anchoring junction	14	6.1946902654867255	6.833417280492354E-5	EPHA4, PRAG1, CTNND2, NEDD9, SORBS2, ARHGAP26, FAP, CDH2, PALLD, GJB6, CLDN23, FLRT1, FERMT2, EPHA2	226	428	27008	3.9090232404267633	0.01787907634480712	0.0021783362309577095	0.0018977929284858834
GOTERM_CC_DIRECT	GO:0030424~axon	16	7.079646017699115	6.987435773532884E-5	EPHA4, TGFB2, TGFB1, TRPA1, NTM, GAD1, UNC5C, SLC6A2, SLC8A1, GAP43, TUBB3, PALLD, LRRTM1, MYC, ROR1, DRD5	226	554	27008	3.4513913293505003	0.018278361786595032	0.0021783362309577095	0.0018977929284858834
KEGG_PATHWAY	mmu05205:Proteoglycans in cancer	11	4.867256637168142	7.085327254713873E-5	FZD1, WNT10B, TGFB2, TGFB1, HGF, MYC, WNT5A, WNT7A, PIK3R1, PPP1R12B, CD44	116	204	10620	4.936612576064908	0.017140217070134356	0.0034576397003003695	0.0030325200650175373
GOTERM_MF_DIRECT	GO:0000976~transcription cis-regulatory region binding	12	5.3097345132743365	7.211145092289584E-5	TFAP2A, DLX2, DLX3, MSX2, CREB3L1, ZIM1, MSX1, AHR, SOX9, HOXC13, GATA3, SMAD6	222	291	24521	4.5548435032971115	0.03444038018591111	0.002874961772831844	0.0027803128255781207
INTERPRO	IPR013098:Ig_I-set	9	3.982300884955752	7.650133513819925E-5	PTPRD, NEGR1, CHL1, UNC5B, PALLD, NTM, ROR1, UNC5C, SDK2	224	138	22313	6.496409161490684	0.06015936571718816	0.010340430466179931	0.0102511789085187
GOTERM_MF_DIRECT	GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding	14	6.1946902654867255	7.690226964365014E-5	TFAP2A, BHLHA9, TFAP2B, DLX1, DLX2, MSX2, GATA3, NR3C1, BARX2, ZFP322A, NFIL3, LHX2, MSX1, LMX1B	222	401	24521	3.8562827166318434	0.036686081171946716	0.002874961772831844	0.0027803128255781207
GOTERM_BP_DIRECT	GO:0042127~regulation of cell population proliferation	10	4.424778761061947	7.804193915267542E-5	TFAP2A, NGFR, TFAP2B, TGFB2, TGFB1, WNT7A, SOX9, SLC7A11, NR3C1, TGFBR2	225	210	26568	5.622857142857143	0.15434231327959613	0.0030478924599990328	0.0028563349729879206
GOTERM_CC_DIRECT	GO:0030027~lamellipodium	10	4.424778761061947	7.923981499374966E-5	TIAM2, FAP, CDH2, TUBB3, PALLD, DYSF, NEDD9, SORBS2, UNC5C, EPHA2	226	213	27008	5.610536374589721	0.02070283190424438	0.0021783362309577095	0.0018977929284858834
